,audio,sentence
35,"{'array': array([array([-1.3065652e-04, -1.5813574e-04, -1.0577122e-04, ...,
               4.5319609e-04, -9.8253258e-05, -9.1451779e-04], dtype=float32),
       array([-1.3065652e-04, -1.5813574e-04, -1.0577122e-04, ...,
               4.5319609e-04, -9.8253258e-05, -9.1451779e-04], dtype=float32)],
      dtype=object), 'path': './recordings/1249120_43105396_90991239.wav', 'sampling_rate': 16000}",I used to have acne when I was 15 years old
36,"{'array': array([array([-0.00071307, -0.0007483 , -0.00036688, ...,  0.00041212,
              -0.00018428, -0.00023332], dtype=float32)               ,
       array([-0.00071307, -0.0007483 , -0.00036688, ...,  0.00041212,
              -0.00018428, -0.00023332], dtype=float32)               ],
      dtype=object), 'path': './recordings/1249120_18172663_80358063.wav', 'sampling_rate': 16000}",i have disterbance in my emotion
37,"{'array': array([array([-0.0005111 , -0.00100242, -0.00087099, ..., -0.0002945 ,
              -0.00033244, -0.00041349], dtype=float32)               ,
       array([-0.0005111 , -0.00100242, -0.00087099, ..., -0.0002945 ,
              -0.00033244, -0.00041349], dtype=float32)               ],
      dtype=object), 'path': './recordings/1249120_43620482_27887240.wav', 'sampling_rate': 16000}","when i get up, i feel dizzy and fall down."
38,"{'array': array([array([-0.00209025,  0.00430586,  0.00565919, ..., -0.00400562,
               0.00294114,  0.01254567], dtype=float32)               ,
       array([-0.00209025,  0.00430586,  0.00565919, ..., -0.00400562,
               0.00294114,  0.01254567], dtype=float32)               ],
      dtype=object), 'path': './recordings/1249120_41087148_75471240.wav', 'sampling_rate': 16000}",I have a pain in my muscle
39,"{'array': array([array([-0.00098987, -0.00287766, -0.00346775, ...,  0.00088893,
               0.00125629,  0.0020803 ], dtype=float32)               ,
       array([-0.00098987, -0.00287766, -0.00346775, ...,  0.00088893,
               0.00125629,  0.0020803 ], dtype=float32)               ],
      dtype=object), 'path': './recordings/1249120_17632529_14316206.wav', 'sampling_rate': 16000}",I feel increased heart rate with prick
40,"{'array': array([array([-0.00615645, -0.01058162, -0.01187529, ..., -0.00290356,
              -0.00352107, -0.00370905], dtype=float32)               ,
       array([-0.00615645, -0.01058162, -0.01187529, ..., -0.00290356,
              -0.00352107, -0.00370905], dtype=float32)               ],
      dtype=object), 'path': './recordings/1249120_44294866_29194304.wav', 'sampling_rate': 16000}",I usually have a bad cough when I get flu.
41,"{'array': array([array([-8.7063614e-04, -8.9735724e-04, -4.3098297e-04, ...,
              -4.8740231e-04,  7.5282805e-05,  6.0401362e-05], dtype=float32),
       array([-8.7063614e-04, -8.9735724e-04, -4.3098297e-04, ...,
              -4.8740231e-04,  7.5282805e-05,  6.0401362e-05], dtype=float32)],
      dtype=object), 'path': './recordings/1249120_30766630_66545078.wav', 'sampling_rate': 16000}","after playing football, i have muscle pain with my both legs."
42,"{'array': array([array([ 0.00094662,  0.00098368,  0.00297647, ..., -0.00130736,
              -0.00149186, -0.00059411], dtype=float32)               ,
       array([ 0.00094662,  0.00098368,  0.00297647, ..., -0.00130736,
              -0.00149186, -0.00059411], dtype=float32)               ],
      dtype=object), 'path': './recordings/1249120_35448024_72173203.wav', 'sampling_rate': 16000}",My hair always falls out and i have lost a lot of hair lately
43,"{'array': array([array([-3.7705198e-05, -8.3146282e-05, -5.4195465e-05, ...,
              -9.6667168e-07, -8.2820625e-06, -8.3247878e-06], dtype=float32),
       array([-3.7705198e-05, -8.3146282e-05, -5.4195465e-05, ...,
              -9.6667168e-07, -8.2820625e-06, -8.3247878e-06], dtype=float32)],
      dtype=object), 'path': './recordings/1249120_41956733_78774475.wav', 'sampling_rate': 16000}","When I walk up a flight of stairs, my right knee hurts."
44,"{'array': array([array([-3.56469127e-06, -9.73829447e-06, -5.29675890e-06, ...,
              -5.74879891e-07, -1.19694505e-05, -4.05021710e-05], dtype=float32),
       array([-3.56469127e-06, -9.73829447e-06, -5.29675890e-06, ...,
              -5.74879891e-07, -1.19694505e-05, -4.05021710e-05], dtype=float32)],
      dtype=object), 'path': './recordings/1249120_43612961_60277081.wav', 'sampling_rate': 16000}",I have a sharp pain in my lower stomach.
45,"{'array': array([array([-0.00633975, -0.00866064, -0.00805629, ..., -0.00623339,
              -0.0062182 , -0.00650445], dtype=float32)               ,
       array([-0.00633975, -0.00866064, -0.00805629, ..., -0.00623339,
              -0.0062182 , -0.00650445], dtype=float32)               ],
      dtype=object), 'path': './recordings/1249120_43758322_15068024.wav', 'sampling_rate': 16000}",I have cloudy eyes
46,"{'array': array([array([ 0.06071598,  0.09600523,  0.085334  , ..., -0.01113545,
              -0.00960162, -0.01083442], dtype=float32)               ,
       array([ 0.06071598,  0.09600523,  0.085334  , ..., -0.01113545,
              -0.00960162, -0.01083442], dtype=float32)               ],
      dtype=object), 'path': './recordings/1249120_44263136_106766278.wav', 'sampling_rate': 16000}",I feel like l fell in hot water
47,"{'array': array([array([0.00053395, 0.00251874, 0.0042458 , ..., 0.00588736, 0.00867102,
              0.0067646 ], dtype=float32)                                     ,
       array([0.00053395, 0.00251874, 0.0042458 , ..., 0.00588736, 0.00867102,
              0.0067646 ], dtype=float32)                                     ],
      dtype=object), 'path': './recordings/1249120_42557795_25502673.wav', 'sampling_rate': 16000}",My joints ache whenever it is cold
48,"{'array': array([array([ 2.5127836e-06, -1.8058445e-05, -1.8700035e-05, ...,
              -6.0510468e-03, -6.6308384e-03, -4.7740089e-03], dtype=float32),
       array([ 2.5127836e-06, -1.8058445e-05, -1.8700035e-05, ...,
              -6.0510468e-03, -6.6308384e-03, -4.7740089e-03], dtype=float32)],
      dtype=object), 'path': './recordings/1249120_43825820_93161773.wav', 'sampling_rate': 16000}",chronic disease of hair follicles and sebaceous glands.
49,"{'array': array([array([-0.00089935, -0.00074719, -0.00100264, ..., -0.00077944,
              -0.00076132, -0.00062868], dtype=float32)               ,
       array([-0.00089935, -0.00074719, -0.00100264, ..., -0.00077944,
              -0.00076132, -0.00062868], dtype=float32)               ],
      dtype=object), 'path': './recordings/1249120_39740177_19170543.wav', 'sampling_rate': 16000}",my ear hurts me badly
50,"{'array': array([array([-4.8360198e-06,  1.0257203e-04,  3.1880484e-04, ...,
              -3.6596215e-05,  1.6629860e-04,  5.8538710e-05], dtype=float32),
       array([-4.8360198e-06,  1.0257203e-04,  3.1880484e-04, ...,
              -3.6596215e-05,  1.6629860e-04,  5.8538710e-05], dtype=float32)],
      dtype=object), 'path': './recordings/1249120_33905644_25172427.wav', 'sampling_rate': 16000}",I hit my head at the basketball game.  Could I have a concussion?
51,"{'array': array([array([ 3.8412541e-05, -9.2709059e-05, -1.0966276e-04, ...,
              -1.4878538e-03,  1.3240213e-04, -2.0302039e-04], dtype=float32),
       array([ 3.8412541e-05, -9.2709059e-05, -1.0966276e-04, ...,
              -1.4878538e-03,  1.3240213e-04, -2.0302039e-04], dtype=float32)],
      dtype=object), 'path': './recordings/1249120_35408915_46744962.wav', 'sampling_rate': 16000}",I have a sharp pain in my neck
52,"{'array': array([array([ 4.0464150e-04,  2.3497686e-04,  2.3239969e-04, ...,
              -5.9933816e-05,  1.4869390e-04,  3.6530662e-04], dtype=float32),
       array([ 4.0464150e-04,  2.3497686e-04,  2.3239969e-04, ...,
              -5.9933816e-05,  1.4869390e-04,  3.6530662e-04], dtype=float32)],
      dtype=object), 'path': './recordings/1249120_44091626_70120359.wav', 'sampling_rate': 16000}",My son got a tattoo several weeks ago and the skin around it is raised and hot and it looks infected.
53,"{'array': array([array([ 4.9302358e-05,  1.0260593e-04,  9.4943163e-05, ...,
               1.1882288e-05, -7.3432639e-05, -7.9396457e-05], dtype=float32),
       array([ 4.9302358e-05,  1.0260593e-04,  9.4943163e-05, ...,
               1.1882288e-05, -7.3432639e-05, -7.9396457e-05], dtype=float32)],
      dtype=object), 'path': './recordings/1249120_35350617_77408545.wav', 'sampling_rate': 16000}",I have a dull ache in my head
54,"{'array': array([array([-0.00153731, -0.00273307, -0.00189064, ..., -0.00437044,
              -0.00413166, -0.00197148], dtype=float32)               ,
       array([-0.00153731, -0.00273307, -0.00189064, ..., -0.00437044,
              -0.00413166, -0.00197148], dtype=float32)               ],
      dtype=object), 'path': './recordings/1249120_41841195_75369794.wav', 'sampling_rate': 16000}",I feel cold and chills even though my clothes are heavy
55,"{'array': array([array([-0.00481206, -0.00382685,  0.00072142, ..., -0.00884029,
              -0.01033664, -0.00772292], dtype=float32)               ,
       array([-0.00481206, -0.00382685,  0.00072142, ..., -0.00884029,
              -0.01033664, -0.00772292], dtype=float32)               ],
      dtype=object), 'path': './recordings/1249120_44259428_92199033.wav', 'sampling_rate': 16000}",I feel dizzy after doing a muscular effort.
56,"{'array': array([array([0.01130103, 0.01673584, 0.01580754, ..., 0.01608947, 0.01674389,
              0.01433474], dtype=float32)                                     ,
       array([0.01130103, 0.01673584, 0.01580754, ..., 0.01608947, 0.01674389,
              0.01433474], dtype=float32)                                     ],
      dtype=object), 'path': './recordings/1249120_39142299_81387428.wav', 'sampling_rate': 16000}",It feels like someone is hitting my head with a hammer.  I feel pain on the top of my head and it throbs.
57,"{'array': array([array([0., 0., 0., ..., 0., 0., 0.], dtype=float32),
       array([0., 0., 0., ..., 0., 0., 0.], dtype=float32)], dtype=object), 'path': './recordings/1249120_44140394_46121793.wav', 'sampling_rate': 16000}","I get tired too fast, I can barely put on my clothes in the morning."
58,"{'array': array([array([-0.02454155, -0.03738484, -0.0283147 , ..., -0.08747704,
              -0.07875318, -0.0730508 ], dtype=float32)               ,
       array([-0.02454155, -0.03738484, -0.0283147 , ..., -0.08747704,
              -0.07875318, -0.0730508 ], dtype=float32)               ],
      dtype=object), 'path': './recordings/1249120_40725179_79498431.wav', 'sampling_rate': 16000}",I have a split on my thumb that will not heal.
59,"{'array': array([array([-7.6338460e-05, -9.4109928e-05, -1.9299928e-06, ...,
               2.4006431e-05,  8.6087457e-06, -2.0924199e-06], dtype=float32),
       array([-7.6338460e-05, -9.4109928e-05, -1.9299928e-06, ...,
               2.4006431e-05,  8.6087457e-06, -2.0924199e-06], dtype=float32)],
      dtype=object), 'path': './recordings/1249120_18386513_92508953.wav', 'sampling_rate': 16000}",Oh my heart hurts me I tried to be calm and I can't
60,"{'array': array([array([ 0.00087381,  0.00128814, -0.00132414, ...,  0.00863636,
               0.0046268 , -0.00566768], dtype=float32)               ,
       array([ 0.00087381,  0.00128814, -0.00132414, ...,  0.00863636,
               0.0046268 , -0.00566768], dtype=float32)               ],
      dtype=object), 'path': './recordings/1249120_2171654_46240770.wav', 'sampling_rate': 16000}",I got injured exercising
61,"{'array': array([array([-0.00105143,  0.00030431,  0.00175698, ...,  0.00287299,
               0.00312625,  0.00175971], dtype=float32)               ,
       array([-0.00105143,  0.00030431,  0.00175698, ...,  0.00287299,
               0.00312625,  0.00175971], dtype=float32)               ],
      dtype=object), 'path': './recordings/1249120_44259428_97884452.wav', 'sampling_rate': 16000}","i am feeling so dizzy, body is so fragile."
62,"{'array': array([array([ 0.00092105,  0.00153888,  0.00153077, ..., -0.00316689,
              -0.00401215, -0.00209687], dtype=float32)               ,
       array([ 0.00092105,  0.00153888,  0.00153077, ..., -0.00316689,
              -0.00401215, -0.00209687], dtype=float32)               ],
      dtype=object), 'path': './recordings/1249120_30937687_58106978.wav', 'sampling_rate': 16000}",My cough is very heavy and I have mucus.
63,"{'array': array([array([-4.7892926e-04, -4.6177683e-04, -5.7234435e-04, ...,
              -1.3549053e-04, -6.8507936e-05,  1.9930015e-04], dtype=float32),
       array([-4.7892926e-04, -4.6177683e-04, -5.7234435e-04, ...,
              -1.3549053e-04, -6.8507936e-05,  1.9930015e-04], dtype=float32)],
      dtype=object), 'path': './recordings/1249120_43172391_108991877.wav', 'sampling_rate': 16000}",There is a sharp pain in my calve.
64,"{'array': array([array([ 0.00337568,  0.00188962,  0.00129316, ..., -0.01037906,
              -0.01376747, -0.01987858], dtype=float32)               ,
       array([ 0.00337568,  0.00188962,  0.00129316, ..., -0.01037906,
              -0.01376747, -0.01987858], dtype=float32)               ],
      dtype=object), 'path': './recordings/1249120_44027675_94400318.wav', 'sampling_rate': 16000}",There is a sharp pain in my bicep
65,"{'array': array([array([ 1.1436061e-04,  3.5811955e-04,  5.1543501e-04, ...,
              -3.1810597e-04, -3.3577300e-05,  2.0098361e-05], dtype=float32),
       array([ 1.1436061e-04,  3.5811955e-04,  5.1543501e-04, ...,
              -3.1810597e-04, -3.3577300e-05,  2.0098361e-05], dtype=float32)],
      dtype=object), 'path': './recordings/1249120_44142156_87393869.wav', 'sampling_rate': 16000}","My husband left me for another woman, my heart hurts so badly to the point I can't eat or sleep."
66,"{'array': array([array([-0.037649  , -0.06038089, -0.05481764, ..., -0.02002619,
              -0.01989627, -0.01758893], dtype=float32)               ,
       array([-0.037649  , -0.06038089, -0.05481764, ..., -0.02002619,
              -0.01989627, -0.01758893], dtype=float32)               ],
      dtype=object), 'path': './recordings/1249120_43604449_14849251.wav', 'sampling_rate': 16000}","i have whooping cough with excess mucous, need mucolytic."
